Body Fat Percentage,Gender,Age,Weight,Height,BMI,Neck,Chest,Abdomen,Hip,Thigh,Knee,Ankle,Biceps,Forearm,Wrist,Workout Type,Workout Frequency,Session Duration,Calories Burned,Calories Burned Per Hour
18.28,M,29,76.81,1.82,23.18,,,,,,,,,,,,,,,
13.73,M,23,77.72,1.95,20.53,,,,,,,,,,,,,,,
42.30,F,57,87.56,1.74,28.83,,,,,,,,,,,,,,,
27.96,M,41,89.47,1.76,28.94,,,,,,,,,,,,,,,
16.46,M,19,69.96,1.72,23.58,,,,,,,,,,,,,,,
34.20,F,26,62.91,1.50,28.02,,,,,,,,,,,,,,,
9.89,M,33,53.60,1.86,15.41,,,,,,,,,,,,,,,
50.59,F,63,105.08,1.74,34.58,,,,,,,,,,,,,,,
39.98,F,59,87.70,1.82,26.51,,,,,,,,,,,,,,,
29.43,M,65,74.80,1.71,25.57,,,,,,,,,,,,,,,
44.70,F,55,67.40,1.47,31.21,,,,,,,,,,,,,,,
28.53,M,43,88.13,1.74,29.03,,,,,,,,,,,,,,,
30.98,F,36,68.59,1.71,23.42,,,,,,,,,,,,,,,
42.23,F,51,85.61,1.69,29.91,,,,,,,,,,,,,,,
22.04,M,35,93.58,1.93,25.16,,,,,,,,,,,,,,,
31.69,F,27,66.84,1.61,25.73,,,,,,,,,,,,,,,
25.23,M,62,79.17,1.87,22.64,,,,,,,,,,,,,,,
25.11,M,62,78.52,1.87,22.54,,,,,,,,,,,,,,,
33.94,F,41,80.44,1.80,24.92,,,,,,,,,,,,,,,
32.07,F,23,81.13,1.74,26.82,,,,,,,,,,,,,,,
20.68,M,56,78.24,1.98,20.00,,,,,,,,,,,,,,,
29.01,M,60,94.44,1.90,26.18,,,,,,,,,,,,,,,
42.35,F,58,71.93,1.58,28.67,,,,,,,,,,,,,,,
48.53,F,59,96.76,1.70,33.63,,,,,,,,,,,,,,,
33.25,M,34,103.17,1.72,34.69,,,,,,,,,,,,,,,
49.19,F,59,90.73,1.63,34.19,,,,,,,,,,,,,,,
22.59,M,21,101.50,1.89,28.30,,,,,,,,,,,,,,,
23.10,M,32,98.56,1.92,26.62,,,,,,,,,,,,,,,
23.27,M,59,78.37,1.91,21.59,,,,,,,,,,,,,,,
34.94,M,47,97.98,1.71,33.61,,,,,,,,,,,,,,,
34.93,F,43,76.82,1.74,25.36,,,,,,,,,,,,,,,
47.95,F,58,100.04,1.73,33.34,,,,,,,,,,,,,,,
39.11,F,46,91.20,1.80,28.27,,,,,,,,,,,,,,,
32.76,M,47,104.07,1.81,31.79,,,,,,,,,,,,,,,
25.62,F,39,61.15,1.82,18.37,,,,,,,,,,,,,,,
28.11,M,48,107.70,1.97,27.73,,,,,,,,,,,,,,,
14.34,M,33,57.57,1.73,19.13,,,,,,,,,,,,,,,
18.49,M,32,88.42,1.97,22.77,,,,,,,,,,,,,,,
21.78,M,62,73.81,1.93,19.77,,,,,,,,,,,,,,,
43.33,F,35,104.44,1.76,33.90,,,,,,,,,,,,,,,
28.76,F,28,58.06,1.59,23.10,,,,,,,,,,,,,,,
36.51,F,22,99.37,1.80,30.71,,,,,,,,,,,,,,,
46.05,F,63,67.20,1.48,30.80,,,,,,,,,,,,,,,
29.49,M,63,96.99,1.93,26.00,,,,,,,,,,,,,,,
16.09,M,42,71.51,1.95,18.86,,,,,,,,,,,,,,,
35.25,F,51,73.53,1.75,24.10,,,,,,,,,,,,,,,
49.28,F,62,71.50,1.46,33.68,,,,,,,,,,,,,,,
14.40,M,43,65.38,1.95,17.26,,,,,,,,,,,,,,,
38.31,F,31,85.66,1.68,30.49,,,,,,,,,,,,,,,
33.52,F,23,81.83,1.71,28.02,,,,,,,,,,,,,,,
40.46,F,35,84.97,1.64,31.51,,,,,,,,,,,,,,,
29.15,F,43,61.60,1.73,20.55,,,,,,,,,,,,,,,
27.01,M,52,95.23,1.91,26.04,,,,,,,,,,,,,,,
15.78,M,23,80.04,1.90,22.25,,,,,,,,,,,,,,,
31.05,M,58,84.93,1.73,28.26,,,,,,,,,,,,,,,
35.06,M,58,106.97,1.84,31.60,,,,,,,,,,,,,,,
13.12,M,26,73.60,1.95,19.45,,,,,,,,,,,,,,,
47.71,F,58,99.97,1.74,33.14,,,,,,,,,,,,,,,
22.66,M,29,102.22,1.95,26.82,,,,,,,,,,,,,,,
18.87,M,47,60.08,1.72,20.21,,,,,,,,,,,,,,,
27.13,M,36,105.01,1.90,29.20,,,,,,,,,,,,,,,
43.74,F,32,105.29,1.74,34.81,,,,,,,,,,,,,,,
22.47,M,42,90.04,1.93,24.18,,,,,,,,,,,,,,,
46.80,F,48,104.38,1.74,34.30,,,,,,,,,,,,,,,
29.90,M,42,107.24,1.88,30.37,,,,,,,,,,,,,,,
43.26,F,31,101.97,1.72,34.61,,,,,,,,,,,,,,,
42.63,F,53,94.09,1.77,29.87,,,,,,,,,,,,,,,
23.38,M,62,82.25,1.97,21.10,,,,,,,,,,,,,,,
39.63,F,42,75.13,1.60,29.47,,,,,,,,,,,,,,,
13.10,M,30,57.41,1.75,18.67,,,,,,,,,,,,,,,
23.75,M,36,103.42,1.98,26.39,,,,,,,,,,,,,,,
22.22,F,24,51.32,1.67,18.41,,,,,,,,,,,,,,,
9.33,M,32,50.21,1.82,15.14,,,,,,,,,,,,,,,
42.70,F,64,90.39,1.80,27.81,,,,,,,,,,,,,,,
41.68,F,24,99.56,1.70,34.64,,,,,,,,,,,,,,,
